epoch,step,total_loss,pred_loss,sigreg_loss
1,131,0.05322588074468929,0.044146417133609644,0.9079463777651313
2,262,0.010967750415092205,0.0014847784582170025,0.9482972144170572
3,393,0.010358197834939901,0.0008065942577121936,0.9551603816847765
4,524,0.010103396786988237,0.0005405439585553951,0.9562853083355736
5,655,0.00994221404735141,0.00040856543981704775,0.9533648827603756
