epoch,step,total_loss,pred_loss,sigreg_loss
1,1,1.3440605401992798,1.3343634605407715,0.9697094559669495
1,2,0.9071173667907715,0.898132860660553,0.8984500169754028
1,3,0.6434162855148315,0.6349447965621948,0.8471473455429077
1,4,0.48969194293022156,0.4816961884498596,0.7995759844779968
1,5,0.38634341955184937,0.3786405324935913,0.7702887058258057
1,6,0.2948259711265564,0.2874707579612732,0.7355203628540039
1,7,0.2314113825559616,0.22403746843338013,0.7373912930488586
1,8,0.18350431323051453,0.17603260278701782,0.7471717596054077
1,9,0.14891739189624786,0.14133518934249878,0.7582206130027771
1,10,0.11396495252847672,0.10617498308420181,0.7789968848228455
1,11,0.09904737770557404,0.09121271967887878,0.7834660410881042
1,12,0.08176566660404205,0.0737307220697403,0.8034942746162415
1,13,0.0722457692027092,0.06426996737718582,0.7975804805755615
1,14,0.06047695875167847,0.052359335124492645,0.8117623329162598
1,15,0.05136946961283684,0.04313243553042412,0.8237032890319824
1,16,0.04746568575501442,0.03915724903345108,0.8308436870574951
1,17,0.041153434664011,0.032735757529735565,0.8417677879333496
1,18,0.040286045521497726,0.03181520476937294,0.8470839858055115
1,19,0.038294725120067596,0.02975603938102722,0.8538685441017151
1,20,0.03797224164009094,0.029394160956144333,0.8578078746795654
1,21,0.037047237157821655,0.028422027826309204,0.8625210523605347
1,22,0.03452274948358536,0.025813113898038864,0.8709636330604553
1,23,0.03212376683950424,0.023337289690971375,0.8786477446556091
1,24,0.032891884446144104,0.024123013019561768,0.876887321472168
1,25,0.03089549019932747,0.022103050723671913,0.8792439699172974
1,26,0.02844873256981373,0.01960923708975315,0.8839495778083801
1,27,0.025783205404877663,0.01689792051911354,0.8885285258293152
1,28,0.024467505514621735,0.015545875765383244,0.8921629190444946
1,29,0.022223319858312607,0.013228332623839378,0.8994988203048706
1,30,0.022027499973773956,0.013047674670815468,0.8979825377464294
1,31,0.020350303500890732,0.011331398971378803,0.9018904566764832
1,32,0.019889604300260544,0.010898830369114876,0.8990775346755981
1,33,0.01931876689195633,0.010299336165189743,0.9019431471824646
1,34,0.019008178263902664,0.009978100657463074,0.9030078649520874
1,35,0.01819029450416565,0.00912143848836422,0.9068855047225952
1,36,0.017356127500534058,0.008246617391705513,0.9109510779380798
1,37,0.017880845814943314,0.008797972463071346,0.9082874655723572
1,38,0.017822593450546265,0.008713364601135254,0.9109228253364563
1,39,0.017666097730398178,0.008554454892873764,0.9111641645431519
1,40,0.01787451282143593,0.008781054988503456,0.9093457460403442
1,41,0.017180055379867554,0.008066674694418907,0.9113379716873169
1,42,0.017223766073584557,0.008093430660665035,0.9130335450172424
1,43,0.016793690621852875,0.007658384274691343,0.9135305881500244
1,44,0.01658211275935173,0.007426462601870298,0.915565013885498
1,45,0.016260690987110138,0.007100327406078577,0.9160363674163818
1,46,0.015883393585681915,0.006709444336593151,0.9173949956893921
1,47,0.014993956312537193,0.005795403383672237,0.9198552966117859
1,48,0.014939841814339161,0.005731498822569847,0.9208343625068665
1,49,0.01514124870300293,0.005964475218206644,0.9176772832870483
1,50,0.015169083140790462,0.006010206416249275,0.915887713432312
1,51,0.014385564252734184,0.005173226352781057,0.9212337732315063
1,52,0.01427642721682787,0.005062511190772057,0.9213916063308716
1,53,0.014040380716323853,0.004804317839443684,0.923606276512146
1,54,0.013912808150053024,0.004664225969463587,0.9248582124710083
1,55,0.014454875141382217,0.005242262501269579,0.9212612509727478
1,56,0.014836099930107594,0.005635065026581287,0.9201035499572754
1,57,0.014714986085891724,0.005511151626706123,0.9203835129737854
1,58,0.013747291639447212,0.004469586536288261,0.9277704954147339
1,59,0.014270949177443981,0.00503535196185112,0.9235597848892212
1,60,0.013864466920495033,0.004611816257238388,0.9252651333808899
1,61,0.013294653967022896,0.004016311839222908,0.9278342127799988
1,62,0.013808521442115307,0.004555337131023407,0.9253184795379639
1,63,0.01355221588164568,0.004281948320567608,0.9270267486572266
1,64,0.013619456440210342,0.004360296297818422,0.9259160757064819
1,65,0.013481220230460167,0.004234984517097473,0.9246235489845276
1,66,0.013431060127913952,0.004168208688497543,0.9262851476669312
1,67,0.013178737834095955,0.00387744652107358,0.9301291704177856
1,68,0.013032241724431515,0.0037395190447568893,0.9292722940444946
1,69,0.013612723909318447,0.0043756961822509766,0.9237027764320374
1,70,0.012998905032873154,0.0037021315656602383,0.9296773076057434
1,71,0.012836098670959473,0.0035386718809604645,0.929742693901062
1,72,0.012928402051329613,0.0036435676738619804,0.9284834265708923
1,73,0.013294050469994545,0.004025262780487537,0.9268787503242493
1,74,0.012784520164132118,0.003467970062047243,0.9316550493240356
1,75,0.012872178107500076,0.0035561886616051197,0.9315989017486572
1,76,0.013185543939471245,0.0038807671517133713,0.9304777383804321
1,77,0.013408871367573738,0.004127726890146732,0.9281144738197327
1,78,0.012635007500648499,0.0033297142945230007,0.9305294156074524
1,79,0.012951657176017761,0.0036238660104572773,0.9327791333198547
1,80,0.012736362405121326,0.0034237566869705915,0.9312605261802673
1,81,0.012563266791403294,0.003255288815125823,0.9307977557182312
1,82,0.012535545974969864,0.0032276888377964497,0.9307856559753418
1,83,0.012499875389039516,0.003163831541314721,0.9336044192314148
1,84,0.012601545080542564,0.003276777919381857,0.9324766993522644
1,85,0.012650220654904842,0.0033292993903160095,0.9320921897888184
1,86,0.012556005269289017,0.0031972448341548443,0.9358760714530945
1,87,0.01273257564753294,0.003410297678783536,0.9322278499603271
1,88,0.012513558380305767,0.0031844573095440865,0.9329100847244263
1,89,0.01251506619155407,0.0031889767851680517,0.9326089024543762
1,90,0.012324819341301918,0.0029746354557573795,0.9350184798240662
1,91,0.012653074227273464,0.0033094200771301985,0.9343653917312622
1,92,0.01239798404276371,0.0030483186710625887,0.9349666237831116
1,93,0.012361453846096992,0.0030054934322834015,0.9355960488319397
1,94,0.012368294410407543,0.0030177917797118425,0.9350503087043762
1,95,0.01213075965642929,0.002762075047940016,0.9368684887886047
1,96,0.012493016198277473,0.003160738619044423,0.9332277774810791
1,97,0.012150270864367485,0.0028003056067973375,0.9349966049194336
1,98,0.012576593086123466,0.003254068549722433,0.9322525262832642
1,99,0.012068633921444416,0.002702837809920311,0.9365796446800232
1,100,0.01203111745417118,0.002657984383404255,0.9373133182525635
1,101,0.01215093769133091,0.0027684210799634457,0.9382516145706177
1,102,0.01223556324839592,0.002875481266528368,0.9360082149505615
1,103,0.012335366569459438,0.0029798895120620728,0.9355477690696716
1,104,0.012228012084960938,0.002861766144633293,0.9366246461868286
1,105,0.01205439679324627,0.002679437631741166,0.9374960064888
1,106,0.012089433148503304,0.002715595532208681,0.9373838305473328
1,107,0.011906065978109837,0.002527051605284214,0.937901496887207
1,108,0.011942736804485321,0.00256916182115674,0.937357485294342
1,109,0.01229585986584425,0.0029278320726007223,0.9368027448654175
1,110,0.011802621185779572,0.002408665604889393,0.9393956065177917
1,111,0.012135990895330906,0.0027503706514835358,0.9385620355606079
1,112,0.012030288577079773,0.002640086691826582,0.9390202164649963
1,113,0.011890755966305733,0.002514629391953349,0.9376126527786255
1,114,0.011831730604171753,0.002445212099701166,0.9386518001556396
1,115,0.011817339807748795,0.0024238168261945248,0.9393523335456848
